epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2828,1.31565,1.81309,1.3674,0.62345,0.55029,0.57924,0.36658,1.2866,1.54856,1.38416,0.0670586,0.000332741,0.000332741
2,145.424,1.25301,1.43436,1.33524,0.66098,0.58228,0.61001,0.39397,1.23971,1.36995,1.35049,0.0340454,0.000652886,0.000652886
3,213.626,1.23317,1.35804,1.31818,0.68111,0.64206,0.67303,0.45055,1.14518,1.19735,1.27536,0.00101904,0.000959831,0.000959831
4,281.549,1.2085,1.30205,1.3054,0.71669,0.65245,0.7069,0.47348,1.14185,1.16731,1.28614,0.0009406,0.0009406,0.0009406
5,349.82,1.17965,1.24568,1.29025,0.71839,0.65124,0.70786,0.47913,1.1352,1.1259,1.25827,0.0009208,0.0009208,0.0009208
6,418.789,1.1451,1.19227,1.2663,0.7283,0.68882,0.73974,0.5107,1.09939,1.05523,1.23663,0.000901,0.000901,0.000901
7,487.307,1.13671,1.16113,1.25841,0.73073,0.69988,0.74234,0.5149,1.07539,1.04308,1.22839,0.0008812,0.0008812,0.0008812
8,555.413,1.11727,1.13455,1.24992,0.74296,0.70046,0.74996,0.52386,1.037,1.00036,1.21479,0.0008614,0.0008614,0.0008614
9,623.881,1.10875,1.11443,1.24174,0.74495,0.70285,0.75828,0.53842,1.04172,0.98346,1.21021,0.0008416,0.0008416,0.0008416
10,692.65,1.09737,1.0966,1.23795,0.74037,0.70635,0.75545,0.54799,1.01619,0.95382,1.19738,0.0008218,0.0008218,0.0008218
11,761.422,1.08099,1.06843,1.22534,0.74798,0.70576,0.76542,0.54762,1.02729,0.93671,1.19217,0.000802,0.000802,0.000802
12,830.01,1.0737,1.06544,1.22417,0.7758,0.70192,0.77239,0.55145,1.01952,0.93851,1.19552,0.0007822,0.0007822,0.0007822
13,897.605,1.06334,1.04225,1.21569,0.76012,0.72898,0.78588,0.56895,1.00343,0.90971,1.18345,0.0007624,0.0007624,0.0007624
14,965.582,1.06333,1.0315,1.21568,0.77002,0.71877,0.78693,0.5765,0.97652,0.89992,1.16677,0.0007426,0.0007426,0.0007426
15,1032.64,1.05071,1.01501,1.20796,0.77059,0.72525,0.7879,0.57472,0.98308,0.87879,1.17033,0.0007228,0.0007228,0.0007228
16,1099.52,1.04321,1.00156,1.20035,0.78737,0.72495,0.79875,0.58277,0.97635,0.87978,1.16214,0.000703,0.000703,0.000703
17,1166.26,1.04109,0.98827,1.19955,0.78206,0.72837,0.79555,0.58023,0.98165,0.87284,1.16099,0.0006832,0.0006832,0.0006832
18,1232.21,1.02677,0.97467,1.19004,0.78516,0.74699,0.8064,0.5899,0.96997,0.84901,1.15751,0.0006634,0.0006634,0.0006634
19,1298.42,1.02787,0.97628,1.19202,0.79336,0.73215,0.80619,0.59518,0.96358,0.85642,1.15755,0.0006436,0.0006436,0.0006436
20,1364.76,1.0198,0.96335,1.18953,0.7888,0.74571,0.80882,0.5989,0.94485,0.83218,1.14475,0.0006238,0.0006238,0.0006238
